lactkey,Farm,Breed,CalveDate,CalveMonth,Parity,Scale,Ramp,Offset,Decay,points,RMSE,M305,PeakDay,PeakMilk,dim1,milk1,dim2,milk2,dim3,milk3,dim4,milk4,dim5,milk5,dim6,milk6,dim7,milk7,dim8,milk8,dim9,milk9,dim10,milk10
3524881,I, H, 2006-10-26,10, 3, 70.3, 39.9, 0, 0.0029, 9, 4.9, 12876, 62.3, 52.39, 26, 45.9, 57, 49, 91, 53.6, 118, 52.2, 148, 47.7, 190, 42.7, 225, 43.6, 260, 27.2, 288, 21.3 ,,
3524919,I, H, 2006-11-04,11, 3, 71.7, 36, 0, 0.0018, 9, 2.2, 15617, 76.2, 58.82, 17, 45.9, 48, 55.8, 82, 59.9, 109, 60.8, 139, 56.3, 181, 49.5, 216, 50.8, 251, 47.2, 279, 40 ,,
3524974,I, H, 2006-10-26,10, 3, 53.5, 42.3, 0, 0.0019, 9, 3.5, 11290, 80.5, 42.43, 26, 27.7, 57, 40.4, 91, 45.4, 118, 44, 148, 41.3, 190, 38.6, 225, 34.5, 260, 32.2, 288, 31.8 ,,
3525003,I, H, 2006-10-22,10, 3, 64.3, 26.2, 0, 0.0018, 10, 5.5, 14190, 62.7, 54.72, 5, 29.5, 30, 54.5, 61, 56.3, 95, 50.4, 122, 49.9, 152, 52.7, 194, 48.6, 229, 47.2, 264, 44, 292, 25.4 
3525025,I, H, 2006-11-12,11, 3, 77.4, 40, 0, 0.0041, 9, 6.1, 12041, 50.3, 53.86, 9, 44.5, 40, 51.8, 74, 46.8, 101, 53.1, 131, 48.1, 173, 45.4, 208, 38.6, 243, 23.6, 271, 13.2 ,,
3525076,I, H, 2006-11-03,11, 2, 59.3, 24.7, -0.8, 0.002, 9, 7.1, 12854, 57.8, 50.4, 18, 45.4, 49, 41.8, 83, 53.6, 110, 45.9, 140, 44, 182, 49, 217, 49.5, 252, 34.5, 280, 20.9 ,,
3525121,I, H, 2006-11-12,11, 2, 64.6, 26.4, -0.7, 0.0013, 10, 5, 15491, 71.4, 57.11, 9, 37.2, 40, 43.1, 74, 60.4, 101, 58.1, 131, 56.3, 173, 56.3, 208, 55.8, 243, 46.8, 271, 42.2, 304, 41.8 
3525146,I, H, 2006-10-27,10, 2, 50.2, 26.4, -0.7, 0.0007, 9, 5.6, 13164, 87.8, 46.47, 25, 25.4, 56, 43.6, 90, 44.5, 117, 51.3, 147, 49.5, 189, 46.3, 224, 44, 259, 40.4, 287, 38.1 ,,
3525179,I, H, 2006-11-01,11, 2, 60.2, 21.6, -0.8, 0.0018, 9, 13.1, 13470, 55.1, 52.44, 20, 49.5, 51, 51.3, 85, 13.2, 112, 43.6, 142, 47.2, 184, 44.9, 219, 47.2, 254, 37.2, 282, 31.8 ,,
3525242,I, H, 2006-11-09,11, 2, 64.6, 26.4, -0.7, 0.0011, 9, 3.9, 15823, 74.4, 57.7, 12, 33.1, 43, 55.8, 77, 59.5, 104, 57.2, 134, 53.6, 176, 50.4, 211, 52.2, 246, 50.8, 274, 47.2 ,,
