lactkey,Farm,Breed,CalveDate,Parity,monthinm,dim,milk
2239237,A, J, 2006-05-13, 1,1, 27, 11.8
2239237,A, J, 2006-05-13, 1,7, 305, 18.2 
2239237,A, J, 2006-05-13, 1,2, 60, 20.9
2239237,A, J, 2006-05-13, 1,3, 94, 25.9
2239239,A, J, 2006-06-04, 1,8,,
2239239,A, J, 2006-06-04, 1,9,,
2239239,A, J, 2006-06-04, 1,10,,
2239239,A, J, 2006-06-04, 1,4, 109, 28.6
2239239,A, J, 2006-06-04, 1,5, 185, 16.3
2239239,A, J, 2006-06-04, 1,6, 236, 20
2239239,A, J, 2006-06-04, 1,7, 283, 21.3 
2239239,A, J, 2006-06-04, 1,2, 38, 32.2
2239239,A, J, 2006-06-04, 1,1, 5, 20.9
2239239,A, J, 2006-06-04, 1,3, 72, 22.7
844798,C, H, 2005-06-26, 1,7, 272, 22.2
844798,C, H, 2005-06-26, 1,8, 304, 17.3 
844798,C, H, 2005-06-26, 1,1, 5, 17.3
844798,C, H, 2005-06-26, 1,2, 51, 20.4
844798,C, H, 2005-06-26, 1,3, 87, 22.2
844802,C, H, 2005-06-22, 1,8,,
844802,C, H, 2005-06-22, 1,9,,
844802,C, H, 2005-06-22, 1,10,,
844802,C, H, 2005-06-22, 1,4, 140, 19.1
844802,C, H, 2005-06-22, 1,5, 177, 19.5
844802,C, H, 2005-06-22, 1,6, 212, 17.7
844802,C, H, 2005-06-22, 1,7, 276, 16.3 
844802,C, H, 2005-06-22, 1,2, 55, 15
844802,C, H, 2005-06-22, 1,1, 9, 18.2
844802,C, H, 2005-06-22, 1,3, 91, 17.3
844810,C, H, 2005-06-24, 1,8,,
844810,C, H, 2005-06-24, 1,9,,
844810,C, H, 2005-06-24, 1,10,,
844810,C, H, 2005-06-24, 1,4, 138, 23.2
844810,C, H, 2005-06-24, 1,5, 175, 20
844810,C, H, 2005-06-24, 1,6, 210, 20.4
844810,C, H, 2005-06-24, 1,7, 274, 19.1 
844810,C, H, 2005-06-24, 1,2, 53, 15
844810,C, H, 2005-06-24, 1,1, 7, 15.4
844810,C, H, 2005-06-24, 1,3, 89, 16.8
844814,C, H, 2005-06-24, 1,8,,
844814,C, H, 2005-06-24, 1,9,,
844814,C, H, 2005-06-24, 1,10,,
844814,C, H, 2005-06-24, 1,4, 138, 17.7
844814,C, H, 2005-06-24, 1,5, 175, 15.9
844814,C, H, 2005-06-24, 1,6, 210, 16.3
844814,C, H, 2005-06-24, 1,7, 274, 12.7 
844814,C, H, 2005-06-24, 1,2, 53, 14.5
844814,C, H, 2005-06-24, 1,1, 7, 21.8
844814,C, H, 2005-06-24, 1,3, 89, 22.2
844868,C, H, 2005-02-21, 1,9,,
844868,C, H, 2005-02-21, 1,10,,
844868,C, H, 2005-02-21, 1,4, 130, 21.8
844868,C, H, 2005-02-21, 1,5, 176, 20
844868,C, H, 2005-02-21, 1,6, 212, 15.4
844868,C, H, 2005-02-21, 1,7, 261, 15.9
844868,C, H, 2005-02-21, 1,8, 298, 14.1 
844868,C, H, 2005-02-21, 1,2, 50, 30.9
844868,C, H, 2005-02-21, 1,1, 9, 23.6
844868,C, H, 2005-02-21, 1,3, 99, 20.4
844906,C, H, 2005-07-07, 1,8,,
844906,C, H, 2005-07-07, 1,9,,
844906,C, H, 2005-07-07, 1,10,,
844906,C, H, 2005-07-07, 1,3, 125, 27.2
844906,C, H, 2005-07-07, 1,4, 162, 25.9
